ByLabels,"Formerly the set of labels for different universes within the indicator, e.g. All women, Currently Married Women. No longer used.",:type:mixed,:kind:discrete
ByVariableId,"A characteristic ID identifying a further level of disaggregation, when an indicator is disaggregated in multiple ways. For example, Current Use of Contraception is disaggregated by Age, but also for All women, currently married women and sexually active unmarried women. Age is presented in the characteristic category above; the disaggregation for All women, currently married women and sexually active unmarried women is captured in the ByVariableId and ByVariableLabel. If this additional level of disaggregation is not used for the indicator the ByVariableId will be 0 and the ByVariableLabel will be blank. A common use of the ByVariableId and ByVariable...",:type:string,:kind:discrete
ByVariableLabel,The descriptive label for the level of disaggregation provided in the ByVariableId.,:type:string,:kind:discrete
CharacteristicCategory,DHS has defined a list of characteristic categories that are used across surveys to make sure the data can be compared across countries very easily. This category can be used to filter data. See also CharacteristicLabel.,:type:string,":kind:categorical,:kind:summary"
CharacteristicId,DHS has defined a list of characteristics that are used across surveys to make sure the data can be compared across countries very easily. A characteristic ID gives you the unique ID that represents that particular characteristic.,:type:string,":kind:categorical,:kind:summary"
CharacteristicLabel,"This field provides label of the characteristic within a particular characteristic category. For example, Urban and Rural are the two characteristics within the category Residence.",:type:string,:kind:discrete
CharacteristicOrder,Sort order in which to display characteristics.,:type:int,:kind:discrete
CIHigh,The upper bound of the 95% confidence interval for the indicator. The confidence interval is only presented for the maternal mortality ratio and the HIV prevalence indicators.,:type:float,:kind:quantitative
CILow,The upper bound of the 95% confidence interval for the indicator. The confidence interval is only presented for the maternal mortality ratio and the HIV prevalence indicators.,:type:float,:kind:quantitative
CountryName,DHS specific country name.,:type:string,:kind:discrete
DataId,A unique numeric record ID corresponding to the data record provided.,:type:int,:kind:discrete
Definition,Provides a definition of the specified indicator. The definition can be used to provide detailed information to your users.,:type:string,:kind:discrete
Denominator,Provides a definition of the denominator of the specified indicator. The denominator definition can be used to provide detailed information to your users.,:type:string,:kind:discrete
DenominatorUnweighted,The unweighted denominator for the indicator data.,:type:float,:kind:quantitative
DenominatorWeighted,The weighted denominator for the indicator data.,:type:float,:kind:quantitative
DHS_CountryCode,Two-letter DHS specific country code.,:type:enum,:kind:categorical
FieldworkEnd,The month and year of the end of fieldwork for the survey (note: day is always returned as 1).,:type:string,:kind:quantitative
FieldworkStart,The month and year of the start of fieldwork for the survey (note: day is always returned as 1).,:type:string,:kind:quantitative
FIPS_countryCode,Federal Information Processing Standards(FIPS) specific country code.,:type:string,:kind:discrete
Footnotes,Footnotes about the survey.,:type:string,:kind:discrete
ImplementingOrg,The name of the implementing organization(s) for the survey.,:type:string,:kind:discrete
Indicator,The name or label of the particular indicator for this data.,:type:string,:kind:discrete
IndicatorId,Indicator ID for the specified indicator. Each indicator will always have a unique ID and can be used across surveys.,:type:string,:kind:discrete
IndicatorId,Indicator ID for the specified indicator. Each indicator will always have a unique ID and can be used across surveys.,:type:string,:kind:discrete
IndicatorName,Indicator label describing the specified indicator.,:type:string,:kind:discrete
IndicatorOldId,Provides the old numeric ID for the indicator used in API version 1. Available for legacy usage/support only.,:type:string,:kind:discrete
IndicatorOrder,Indicator Order is used for ordering indicators within the levels.,:type:int,:kind:discrete
IndicatorType,Type of indicator. ,:type:enum,:kind:categorical
InfoType,Describing the type of information that was requested.,:type:string,:kind:discrete
Interface,Interface Type of each update.,:type:string,":kind:categorical,:kind:summary"
ISO2_countryCode,International Organization of Standards(ISO) specific two-letter country code.,:type:string,:kind:discrete
ISO3_countryCode,International Organization of Standards(ISO) specific three-letter country code.,:type:string,:kind:discrete
IsPreferred,"If a particular indicator has multiple values because it is disaggregated in multiple ways, this column will identify which is the preferred value to display by default.",:type:bool,:kind:discrete
IsQuickStat,This column will display a '1' for DHS Quickstat indicators that are used or viewed most often. The information can be utilized to serve the most common data to users quickly.,:type:bool,:kind:discrete
IsTotal,This column will identify if a certain value is a Total value used for national totals.,:type:bool,:kind:discrete
Label,Indicator label describing the specified indicator.,:type:string,:kind:discrete
Level1,Each indicator is grouped in a three level hierarchy. This column provides the top level grouping and is the major subject area.,:type:string,":kind:categorical,:kind:summary"
Level2,Each indicator is grouped in a three level hierarchy. This column provides the second level grouping and is the topic area within the major subject.,:type:string,":kind:categorical,:kind:summary"
